

550367	2
550369	36
550375	24
550412	24
550417	19
550421	9
550424	3
550425	18
550439	9
550630	4
550632	6
550634	12
550653	5
550654	44
550690	19
550691	11
550707	19
550711	20
550728	17
550731	59
550742	4
550756	16
550760	7
550774	20
550778	19
550781	14
550784	2
550819	29
550824	43
550843	24
550848	13
550852	36
550858	5
550889	24
550916	17
550997	12
551005	7
551007	2
551008	9
551013	12
551023	23
551027	3
551066	70
551083	83
551105	7
551107	10
551122	23
551127	62
551149	38
551219	1
551221	52
551229	2
551230	5
551232	26
551255	4
551257	14
551260	74
551272	1
551290	29
551296	7
551365	50
551387	7
551389	7
551391	3
551392	6
551394	20
551398	43
551418	57
551427	22
551463	26
551468	61
551498	31
551504	9
551759	25
551760	29
551761	12
551780	40
551843	25
551856	5
551874	8
551875	23
551877	52
551889	33
551890	26
551894	3
551921	8
551922	9
551923	9
551924	11
551925	12
551926	20
551931	9
551943	74
551958	46
551977	10
551979	10
551982	8
551983	16
551989	10
551992	4
551993	6
551997	27
552005	6
552029	14
552080	30
552102	4
552103	13
552138	8
552139	13
552140	9
552141	8
552142	6
552156	8
552176	31
552177	35
552178	21
552179	3
552197	8
552198	7
552200	63
552201	12
552203	13
552204	14
552205	14
552206	9
552283	13
552285	62
552304	64
552340	39
552341	47
552353	35
552369	13
552381	52
552382	8
552383	2
552384	26
552400	13
552401	28
552402	24
552403	39
553185	10
553187	7
553188	8
553189	18
553193	31
553219	35
553225	55
553250	11
553253	7
553255	9
553274	11
553294	2
553297	7
553299	38
553305	62
553486	7
553512	17
553530	38
553536	35
553555	97
553588	5
553590	25
553610	16
553633	32
553655	56
553660	8
553663	35
553700	5
553702	71
553739	16
553756	6
553785	55
553807	53
553816	8
553819	6
553821	9
553824	2
553825	9
553844	31
553862	27
553880	21
553903	2
554092	2
554094	2
554095	2
554097	1
554098	11
554194	21
554198	13
554201	4
554203	18
554207	1
554208	29
554223	89
554247	78
554261	11
554293	4
554295	41
554316	35
554322	4
554323	11
554354	90
554394	42
554404	19
554408	25
554413	4
554427	13
554462	52
554471	6
554494	24
554495	48
554504	16
554507	4
554524	4
554526	67
554538	25
554558	29
554564	30
554569	35
554588	8
554603	51
554613	6
554615	30
554633	25
554701	4
554703	76
554714	13
554728	19
554732	8
554736	3
554752	13
554768	16
554772	5
554774	3
554791	21
554808	78
554835	6
554837	77
554873	40
554880	14
554898	64
554920	77
554968	9
554970	12
554973	50
554998	51
555020	31
555022	24
555023	28
555047	1
555071	22
555073	5
555121	14
555122	4
555124	57
555150	6
555152	10
555156	22
555160	29
555166	7
555172	15
555187	16
555202	31
555208	26
555226	34
555232	57
555254	28
555259	51
555267	13
555270	5
555308	75
555344	4
555345	82
555370	21
555374	64
555398	1
555401	2
555408	17
555411	5
555431	22
555435	17
555443	39
555451	6
555476	3
555478	20
555482	64
555504	69
555540	10
555543	8
555546	60
555575	2
555591	19
555596	22
555612	48
555649	2
555651	85
555676	19
555693	2
555695	64
555705	9
555707	7
555722	5
555723	7
555740	3
555742	7
555759	5
555761	4
555763	67
555789	1
555790	55
555798	6
555801	18
555850	8
555853	14
555860	43
555881	4
555883	19
555900	14
555917	18
555933	53
555958	1
555960	13
555965	4
555967	38
555976	3
556152	48
556160	22
556164	13
556182	49
556210	45
556218	40
556237	72
556248	17
556269	8
556284	33
556370	4
556372	34
556412	87
556437	13
556454	35
556461	45
556482	13
556485	31
556491	37
556497	5
556517	88
556542	22
556562	60
556639	3
556640	4
556641	13
556662	6
556664	89
556680	42
556716	23
556734	39
556741	36
556767	76
556816	38
556834	95
556872	18
556889	22
556907	10
556909	12
556913	56
556923	12
556939	29
556954	22
556958	60
556979	4
556981	20
556997	36
557012	38
557019	8
557021	26
557026	4
557074	20
557104	46
557112	36
557118	1
557119	9
557138	69
557149	19
557226	11
557233	30
557251	46
557271	24
557291	46
557299	44
557321	4
557336	16
557339	65
557350	13
557374	6
557415	62
557425	37
557444	1
557481	2
557482	88
557509	32
557531	29
557547	63
557613	82
557659	44
557681	57
557691	22
557717	31
557723	8
557726	8
557744	40
557749	6
557862	9
557876	9
557897	6
557913	2
557926	30
558122	4
558124	8
558126	5
558150	15
558153	6
558155	33
558179	7
558182	70
558215	4
558217	19
558221	63
558244	15
558247	78
558273	1
558275	54
558284	4
558288	5
558291	14
558327	3
558329	3
558330	70
558354	19
558369	15
558383	4
558387	12
558390	28
558406	9
558409	4
558410	1
558422	50
558433	9
558437	1
558449	91
558482	65
558535	4
558551	26
558602	4
558604	8
558606	52
558615	2
558627	30
558633	54
558656	22
558676	52
558685	7
558726	24
558744	38
558750	4
558752	5
558757	38
558783	35
558801	21

